SYMBOL,DELIV_PER
IFBAGRO,42.82
IFBIND,34.17
IFCI,25.14
IFGLEXPOR,49.39
IGARASHI,46.38
IGCL,61.07
IGIL,44.52
IGL,68.25
IGPL,52.09
IIFL,49.08
IIFLCAPS,48.01
IITL,6.08
IKIO,27.9
IKS,52.29
IMAGICAA,49.14
IMFA,44.02
IMPAL,47.89
INA,18.16
INCREDIBLE,74.97
INDBANK,65.75
INDGN,62.04
INDHOTEL,47.19
INDIACEM,38.32
INDIAGLYCO,44.68
INDIAMART,67.53
INDIANB,29.79
INDIANCARD,47.1
INDIANHUME,56.89
INDIASHLTR,56.08
INDIGO,31.57
INDIGOPNTS,31.45
INDIQUBE,55.85
INDNIPPON,41.57
INDOAMIN,49.57
INDOBORAX,70.25
INDOCO,57.07
INDOFARM,42.98
INDORAMA,62.72
INDOSTAR,44.23
INDOTECH,38.15
INDOTHAI,58.89
INDOUS,54.19
INDOWIND,46.84
INDRAMEDCO,47.63
INDSWFTLAB,64.52
INDTERRAIN,58.04
INDUSINDBK,27.04
INDUSTOWER,59.37
INFOBEAN,23.42
INFOMEDIA,54.7
INFRA,84.3
INFRABEES,50.64
INFRAIETF,66.78
INFY,33.66
INGERRAND,58.79
INNOVACAP,54.02
INNOVANA,60.4
INNOVISION,21.84
INOXGREEN,46.96
INOXINDIA,28.93
INOXWIND,29.15
INSECTICID,40.95
INTELLECT,36.75
INTENTECH,59.0
INTERARCH,43.88
INTERNET,84.46
INTLCONV,47.16
INVENTURE,56.44
IOB,34.19
IOC,47.71
IOLCP,40.29
IONEXCHANG,39.06
IPCALAB,46.32
IPL,46.85
IRB,32.39
IRCON,27.43
IRCTC,39.73
IREDA,23.99
IRFC,27.19
IRIS,63.57
IRISDOREME,52.49
IRMENERGY,33.86
ISFT,41.81
ISGEC,43.48
ISHANCH,64.44
IT,54.84
ITADD,97.36
ITBEES,50.54
ITBETA,91.74
ITC,57.59
ITCHOTELS,47.64
ITDC,6.23
ITETF,38.91
ITI,15.55
ITIETF,69.01
IVALUE,40.85
IVC,80.59
IVP,85.45
IVZINGOLD,53.02
IVZINNIFTY,78.43
IXIGO,38.07
J&KBANK,36.05
JAGRAN,67.53
JAGSNPHARM,47.87
JAIBALAJI,31.99
JAICORPLTD,31.36
JAINREC,32.53
JAIPURKURT,68.12
JAMNAAUTO,43.46
JARO,24.01
JASH,58.88
JAYAGROGN,81.19
JAYBARMARU,37.78
JAYKAY,46.69
JAYNECOIND,41.36
JAYSREETEA,39.78
JBCHEPHARM,70.96
JBMA,11.07
JETFREIGHT,83.95
JGCHEM,42.05
JHS,46.46
JINDALPHOT,44.11
JINDALPOLY,41.69
JINDALSAW,33.2
JINDALSTEL,28.8
JINDRILL,15.03
JINDWORLD,35.09
JIOFIN,41.01
JISLDVREQS,57.16
JISLJALEQS,50.86
JKCEMENT,61.3
JKIL,45.02
JKIPL,32.49
JKLAKSHMI,50.46
JKPAPER,32.56
JKTYRE,33.48
JLHL,37.14
JMA,58.75
JMFINANCIL,25.9
JNKINDIA,36.9
JOCIL,68.99
JPOLYINVST,34.36
JPPOWER,23.95
JSFB,43.21
JSL,57.33
JSLL,49.72
JSWCEMENT,61.3
JSWENERGY,35.55
JSWHL,43.13
JSWINFRA,42.2
JSWSTEEL,35.38
JTEKTINDIA,45.79
JTLIND,31.06
JUBLCPL,41.08
JUBLFOOD,35.03
JUBLINGREA,39.95
JUBLPHARMA,48.05
JUNIORBEES,40.65
JUNIPER,44.74
JUSTDIAL,46.34
JWL,31.58
JYOTHYLAB,52.79
JYOTICNC,37.35
JYOTISTRUC,31.56
KABRAEXTRU,40.6
KAJARIACER,42.14
KAKATCEM,90.0
KALAMANDIR,37.97
KALPATARU,53.26
KALYANIFRG,87.72
KALYANKJIL,33.77
